Year,Outcome,Forecast
2022,Average_Life_Expectancy_(Years)_Black_Female,78.7403665690187
2023,Average_Life_Expectancy_(Years)_Black_Female,78.77800750271606
2024,Average_Life_Expectancy_(Years)_Black_Female,78.81277378466926
2025,Average_Life_Expectancy_(Years)_Black_Female,78.8448849530735
2026,Average_Life_Expectancy_(Years)_Black_Female,78.87454377991251
2027,Average_Life_Expectancy_(Years)_Black_Female,78.90193755140014
2018,Average_Life_Expectancy_(Years)_Black_Male,71.8117069615458
2019,Average_Life_Expectancy_(Years)_Black_Male,71.73849157672532
2020,Average_Life_Expectancy_(Years)_Black_Male,71.67777905999401
2021,Average_Life_Expectancy_(Years)_Black_Male,71.62743431760293
2022,Average_Life_Expectancy_(Years)_Black_Male,71.58568686217062
2023,Average_Life_Expectancy_(Years)_Black_Male,71.55106854946709
2024,Average_Life_Expectancy_(Years)_Black_Male,71.52236194778254
2025,Average_Life_Expectancy_(Years)_Black_Male,71.49855752417204
2026,Average_Life_Expectancy_(Years)_Black_Male,71.47881814193325
2027,Average_Life_Expectancy_(Years)_Black_Male,71.46244962079008
2018,Average_Life_Expectancy_(Years)_White_BothSexes,78.82671282198571
2019,Average_Life_Expectancy_(Years)_White_BothSexes,78.85297080249279
2020,Average_Life_Expectancy_(Years)_White_BothSexes,78.87878168614554
2021,Average_Life_Expectancy_(Years)_White_BothSexes,78.90415308569992
2022,Average_Life_Expectancy_(Years)_White_BothSexes,78.92909248428882
2023,Average_Life_Expectancy_(Years)_White_BothSexes,78.9536072376292
2024,Average_Life_Expectancy_(Years)_White_BothSexes,78.97770457619163
2025,Average_Life_Expectancy_(Years)_White_BothSexes,79.00139160733282
2026,Average_Life_Expectancy_(Years)_White_BothSexes,79.02467531739192
2027,Average_Life_Expectancy_(Years)_White_BothSexes,79.04756257375111
2018,Average_Life_Expectancy_(Years)_White_Female,81.19600346691075
2019,Average_Life_Expectancy_(Years)_White_Female,81.19217629242426
2020,Average_Life_Expectancy_(Years)_White_Female,81.18851129973613
2021,Average_Life_Expectancy_(Years)_White_Female,81.18500161616893
2022,Average_Life_Expectancy_(Years)_White_Female,81.18164066028442
2023,Average_Life_Expectancy_(Years)_White_Female,81.17842212954186
2024,Average_Life_Expectancy_(Years)_White_Female,81.1753399884794
2025,Average_Life_Expectancy_(Years)_White_Female,81.1723884573962
2026,Average_Life_Expectancy_(Years)_White_Female,81.16956200151421
2027,Average_Life_Expectancy_(Years)_White_Female,81.16685532059924
2018,Average_Life_Expectancy_(Years)_White_Male,76.37732640693653
2019,Average_Life_Expectancy_(Years)_White_Male,76.35558805390673
2020,Average_Life_Expectancy_(Years)_White_Male,76.33474636414343
2021,Average_Life_Expectancy_(Years)_White_Male,76.31476435209338
2022,Average_Life_Expectancy_(Years)_White_Male,76.29560655778289
2023,Average_Life_Expectancy_(Years)_White_Male,76.27723898389074
2024,Average_Life_Expectancy_(Years)_White_Male,76.25962903541672
2025,Average_Life_Expectancy_(Years)_White_Male,76.24274546183872
2026,Average_Life_Expectancy_(Years)_White_Male,76.2265583016557
2027,Average_Life_Expectancy_(Years)_White_Male,76.21103882921817
